,NaturalizedRegion2013,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Dependencies,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
0,Total,779929,1811,1083,13165,1567,164792,6263,9253,1460,1854,101773,19534,691,3494,1305,27706,4369,2503,2761,3341,2543,988,17752,21404,12950,10526,973,4817,294,2418,8507,1589,41173,2371,107330,12150,532,10664,3487,5784,17813,2447,2816,4770,464,5004,57947,310,673,3026,496,22279,17589,443,4532,242,2101
1,Africa,71872,224,73,1136,79,5763,1039,676,296,657,2135,3513,2,50,118,2187,654,551,377,655,181,319,5407,3297,879,4736,83,836,11,686,588,183,3594,78,6440,1811,208,3179,443,450,2689,4,535,599,178,1187,5687,27,2,216,129,3943,2276,59,430,18,293
2,Asia,275700,844,550,3579,555,84764,1819,2493,559,342,9363,7011,640,2770,391,10862,1815,819,1191,1197,1107,312,6027,5780,7624,3467,478,1891,80,735,3490,558,13825,496,33351,4247,147,4103,1418,2153,7055,54,424,1530,136,1960,19663,88,82,843,134,9872,7917,202,2095,76,716
3,Europe,80333,200,177,1167,106,11455,1013,2001,124,237,6645,1958,17,208,233,6951,557,449,175,464,220,168,1405,3117,2440,914,90,1115,103,161,782,379,4584,201,11380,1473,82,1714,239,1162,2634,56,271,734,87,564,3017,18,18,332,113,1989,3564,58,725,38,249
4,North America,271807,417,175,6780,749,55702,1932,2414,372,454,59983,4946,10,198,504,6620,1092,594,886,851,805,142,3487,6241,1687,964,254,746,70,752,3162,300,11891,1481,41135,3325,64,1161,1143,1738,4287,2079,1310,1258,52,986,26097,125,550,981,94,3911,3013,82,1053,91,611
5,Oceania,3849,7,58,70,9,1527,73,25,2,2,126,73,17,142,11,63,2,11,2,12,15,10,2,62,27,33,2,2,6,3,2,14,49,13,155,56,6,24,2,2,2,0,10,35,3,24,166,26,2,2,2,2,2,2,2,3,20
6,South America,76167,119,50,430,69,5557,387,1644,2,146,23505,2030,2,126,48,1004,226,79,117,156,207,37,1391,2900,266,409,2,201,24,81,433,155,7221,102,14864,1232,25,462,205,212,1115,254,266,611,8,277,3306,26,13,519,2,2466,510,2,209,16,207
7,Unknown,201,0,0,3,0,24,0,0,0,2,16,3,0,0,0,19,2,0,2,6,8,0,2,7,27,3,2,2,0,0,2,0,9,0,5,6,0,21,2,2,2,0,0,3,0,6,11,0,0,2,0,2,2,0,2,0,5
